phase,lon,lat,UWIND
Early,-162.5,12.5,0.13413166650705657
Early,-162.5,15,0.23373252924906765
Early,-162.5,17.5,0.5447717124212539
Early,-162.5,20,0.8592076969122212
Early,-162.5,22.5,0.962080096490973
Early,-162.5,25,0.779723382252033
Early,-162.5,27.5,0.4043473928747536
Early,-162.5,30,0.03119713828034339
Early,-162.5,32.5,-0.2122658815803231
Early,-162.5,35,-0.3541027643385287
Early,-162.5,37.5,-0.4824830457639065
Early,-162.5,40,-0.5907353170021867
Early,-162.5,42.5,-0.6247794100576195
Early,-162.5,45,-0.6455286604329646
Early,-162.5,47.5,-0.7460992102356999
Early,-162.5,50,-0.8311925311640523
Early,-162.5,52.5,-0.6430158836844883
Early,-162.5,55,-0.14719011543605792
Early,-162.5,57.5,0.33234394090630676
Early,-162.5,60,0.4797700039225729
Early,-162.5,62.5,0.3835548126666222
Early,-162.5,65,0.35916796803790024
Early,-162.5,67.5,0.4809072536627743
Early,-162.5,70,0.533868422504841
Early,-162.5,72.5,0.3833947094958848
Early,-162.5,75,0.2032708810711188
Early,-162.5,77.5,0.19868421881141893
Early,-162.5,80,0.2899302570148211
Early,-162.5,82.5,0.223523689526986
Early,-162.5,85,-0.04891554260929274
Early,-162.5,87.5,-0.2811485677035253
Early,-162.5,90,-0.26481102838061105
Early,-160,-90,-0.15235880394613965
Early,-160,-87.5,-0.5263047314243688
Early,-160,-85,-0.3192594228568826
Early,-160,-82.5,0.34791881968075583
Early,-160,-80,0.648472895945986
Early,-160,-77.5,0.05137393126774666
Early,-160,-75,-0.9554874081419988
Early,-160,-72.5,-1.4552689605369145
Early,-160,-70,-1.2260797906524243
Early,-160,-67.5,-0.8443290420859553
Early,-160,-65,-0.7800407106348024
Early,-160,-62.5,-0.8588421343187598
Early,-160,-60,-0.7100776345106371
Early,-160,-57.5,-0.3279780123675829
Early,-160,-55,0.056314909606148864
Early,-160,-52.5,0.3555058896154586
Early,-160,-50,0.5769636933783779
Early,-160,-47.5,0.6290405006180841
Early,-160,-45,0.4572334764019485
Early,-160,-42.5,0.24734114610272676
Early,-160,-40,0.20557018796661078
Early,-160,-37.5,0.23916388249398807
Early,-160,-35,0.12769138896768986
Early,-160,-32.5,-0.08578079454384527
Early,-160,-30,-0.17872186993500844
Early,-160,-27.5,-0.15562346366143967
Early,-160,-25,-0.2362881647057663
Early,-160,-22.5,-0.42926567313229413
Early,-160,-20,-0.46441268254701623
Early,-160,-17.5,-0.2576378489028135
Early,-160,-15,-0.07874697311275396
Early,-160,-12.5,-0.10717240125023361
Early,-160,-10,-0.12178781039966824
Early,-160,-7.5,0.128299985152088
Early,-160,-5,0.49137926233347995
Early,-160,-2.5,0.6323339081927302
Early,-160,0,0.5174889579877296
Early,-160,2.5,0.41315488257618915
Early,-160,5,0.4233542918831899
Early,-160,7.5,0.3941928715760175
Early,-160,10,0.2329562862042606
Early,-160,12.5,0.09811493283842623
Early,-160,15,0.1853909923382398
Early,-160,17.5,0.4944392854150078
Early,-160,20,0.8245311955059338
Early,-160,22.5,0.9556931397001788
Early,-160,25,0.7658481428174276
Early,-160,27.5,0.3378923687300172
Early,-160,30,-0.07667274702072124
Early,-160,32.5,-0.27506575619088725
Early,-160,35,-0.3023315267720275
Early,-160,37.5,-0.34295707226678457
Early,-160,40,-0.45188552041945734
Early,-160,42.5,-0.547684941506373
Early,-160,45,-0.6209253408026933
Early,-160,47.5,-0.7340953330304774
Early,-160,50,-0.8007393033143878
Early,-160,52.5,-0.601784974451909
Early,-160,55,-0.11607296733483692
Early,-160,57.5,0.338841155460483
Early,-160,60,0.4730680673869383
Early,-160,62.5,0.3796152566152669
Early,-160,65,0.34974189234555836
Early,-160,67.5,0.44520448441770527
Early,-160,70,0.46956971529899166
Early,-160,72.5,0.3254239293659319
Early,-160,75,0.1886430217773839
Early,-160,77.5,0.22299706992724466
Early,-160,80,0.3170920595598795
Early,-160,82.5,0.2269887497851914
Early,-160,85,-0.060303143536197076
Early,-160,87.5,-0.2872191942008333
Early,-160,90,-0.2585177142463162
Early,-157.5,-90,-0.15644671668477916
Early,-157.5,-87.5,-0.5340259829217915
Early,-157.5,-85,-0.32399847384616376
Early,-157.5,-82.5,0.3433333540750544
Early,-157.5,-80,0.6337585432996689
Early,-157.5,-77.5,0.03285225765508322
Early,-157.5,-75,-0.9542811568626397
Early,-157.5,-72.5,-1.434201547509079
Early,-157.5,-70,-1.2109689897920302
Early,-157.5,-67.5,-0.851645064300194
Early,-157.5,-65,-0.7899053668634003
Early,-157.5,-62.5,-0.8415338237169457
Early,-157.5,-60,-0.6707187292955213
Early,-157.5,-57.5,-0.2949727475239232
Early,-157.5,-55,0.07465306263321643
Early,-157.5,-52.5,0.37729409241383294
Early,-157.5,-50,0.6174390511769656
Early,-157.5,-47.5,0.6760795017168951
Early,-157.5,-45,0.4916226784644604
Early,-157.5,-42.5,0.26808359544854304
Early,-157.5,-40,0.2091153648402953
Early,-157.5,-37.5,0.21216328752559283
Early,-157.5,-35,0.07212828436283236
Early,-157.5,-32.5,-0.13644889186862508
Early,-157.5,-30,-0.19672727616565117
Early,-157.5,-27.5,-0.15671803255860162
Early,-157.5,-25,-0.2612607440317972
Early,-157.5,-22.5,-0.48957434678643846
Early,-157.5,-20,-0.541083447598662
Early,-157.5,-17.5,-0.3317241221691708
Early,-157.5,-15,-0.14476562862019576
Early,-157.5,-12.5,-0.16055366046065664
Early,-157.5,-10,-0.15497330968107628
Early,-157.5,-7.5,0.0961519405269092
Early,-157.5,-5,0.43871853312614045
Early,-157.5,-2.5,0.5725004830742516
Early,-157.5,0,0.5023318586387533
Early,-157.5,2.5,0.4566253100800496
Early,-157.5,5,0.4836143597465731
