phase,lon,lat,UWIND
Early,-162.5,75,0.6707461764519979
Early,-162.5,77.5,0.7383084424624432
Early,-162.5,80,0.4397603515947084
Early,-162.5,82.5,0.14370330600420594
Early,-162.5,85,0.09797500069020341
Early,-162.5,87.5,0.14961437961837348
Early,-162.5,90,0.02892780831754268
Early,-160,-90,0.7856272845499217
Early,-160,-87.5,1.0263008493016077
Early,-160,-85,0.782069393480086
Early,-160,-82.5,0.10223791934688187
Early,-160,-80,-0.46527477618339713
Early,-160,-77.5,-0.32651620993601255
Early,-160,-75,0.47378880637957876
Early,-160,-72.5,1.2562600721536357
Early,-160,-70,1.4522221087959342
Early,-160,-67.5,1.1227402967809836
Early,-160,-65,0.6727166563249652
Early,-160,-62.5,0.2913925474408726
Early,-160,-60,-0.1542017980784843
Early,-160,-57.5,-0.7534370522197732
Early,-160,-55,-1.3290255897237986
Early,-160,-52.5,-1.5943789433938667
Early,-160,-50,-1.408266855371953
Early,-160,-47.5,-0.8774772981607395
Early,-160,-45,-0.24073753862583033
Early,-160,-42.5,0.3090932663575546
Early,-160,-40,0.7107079729155217
Early,-160,-37.5,0.9941097484244026
Early,-160,-35,1.1662405412623291
Early,-160,-32.5,1.1835211868517594
Early,-160,-30,1.0393448577971252
Early,-160,-27.5,0.812941646886769
Early,-160,-25,0.5738685439463672
Early,-160,-22.5,0.31306849115259616
Early,-160,-20,0.015077542091920004
Early,-160,-17.5,-0.2309932583929771
Early,-160,-15,-0.3100349873737466
Early,-160,-12.5,-0.23598595168564154
Early,-160,-10,-0.16149106947839265
Early,-160,-7.5,-0.19552570189937124
Early,-160,-5,-0.2710943279139343
Early,-160,-2.5,-0.24459262170827603
Early,-160,0,-0.06003858411291034
Early,-160,2.5,0.18338024179043852
Early,-160,5,0.3355404353784139
Early,-160,7.5,0.33037910604475096
Early,-160,10,0.22860220928841013
Early,-160,12.5,0.14247852883235163
Early,-160,15,0.08988634688297226
Early,-160,17.5,-0.033501976714164085
Early,-160,20,-0.2889572685066482
Early,-160,22.5,-0.5624325151914357
Early,-160,25,-0.656852684004682
Early,-160,27.5,-0.5286282349025986
Early,-160,30,-0.3529864689348452
Early,-160,32.5,-0.2938700715851788
Early,-160,35,-0.30061021985213593
Early,-160,37.5,-0.1879321513773362
Early,-160,40,0.12426996674090898
Early,-160,42.5,0.5246358440753844
Early,-160,45,0.8519854414370804
Early,-160,47.5,1.019900148336915
Early,-160,50,0.982417394068383
Early,-160,52.5,0.7090115683344337
Early,-160,55,0.2632852725148122
